,Age in 5-year groups,Type of place of residence,Number of household members,Source of drinking water,Time to get to water source (minutes),Type of toilet facility,Has electricity,Has radio,Age of head of household,Sons who have died,Daughters who have died,Total children ever born
4212,35-39,urban,10,protected well,15.0,pit latrine with slab,no,yes,39.0,0,0,1
4213,20-24,urban,10,protected well,15.0,pit latrine with slab,no,yes,39.0,0,0,0
4214,25-29,urban,6,protected well,6.0,pit latrine with slab,yes,yes,35.0,0,0,3
4215,15-19,urban,6,protected well,6.0,pit latrine with slab,yes,yes,35.0,0,0,0
4216,25-29,urban,5,protected well,0.0,pit latrine with slab,yes,yes,35.0,0,0,2
4217,15-19,urban,5,protected well,0.0,pit latrine with slab,yes,yes,35.0,0,0,0
4218,20-24,urban,9,protected well,0.0,flush to septic tank,yes,yes,65.0,0,0,0
4219,15-19,urban,9,protected well,0.0,flush to septic tank,yes,yes,65.0,0,0,0
4220,15-19,urban,9,protected well,0.0,flush to septic tank,yes,yes,65.0,0,0,0
4221,25-29,urban,4,protected well,0.0,pit latrine with slab,yes,no,30.0,0,0,1
4222,25-29,urban,5,protected well,7.0,pit latrine with slab,yes,yes,33.0,0,0,2
4223,15-19,urban,5,protected well,7.0,pit latrine with slab,yes,yes,33.0,0,0,0
4224,40-44,urban,7,protected well,0.0,pit latrine with slab,yes,yes,44.0,0,0,3
4225,25-29,urban,7,protected well,0.0,pit latrine with slab,yes,yes,44.0,0,0,1
4226,35-39,urban,8,protected well,0.0,pit latrine with slab,no,yes,57.0,0,0,4
4227,15-19,urban,8,protected well,0.0,pit latrine with slab,no,yes,57.0,0,0,0
4228,20-24,urban,8,protected well,0.0,pit latrine with slab,no,yes,57.0,0,0,0
4229,35-39,urban,7,protected well,10.0,pit latrine with slab,no,yes,35.0,0,0,3
4230,15-19,urban,7,protected well,10.0,pit latrine with slab,no,yes,35.0,0,0,0
4231,15-19,urban,7,protected well,10.0,pit latrine with slab,no,yes,35.0,0,0,0
4232,40-44,urban,12,protected well,10.0,pit latrine with slab,yes,yes,40.0,0,0,6
4233,20-24,urban,12,protected well,10.0,pit latrine with slab,yes,yes,40.0,0,0,0
4234,20-24,urban,12,protected well,10.0,pit latrine with slab,yes,yes,40.0,0,0,0
4235,20-24,urban,12,protected well,10.0,pit latrine with slab,yes,yes,40.0,0,0,0
4236,20-24,urban,12,protected well,10.0,pit latrine with slab,yes,yes,40.0,0,0,0
4237,15-19,urban,12,protected well,10.0,pit latrine with slab,yes,yes,40.0,0,0,0
4238,20-24,urban,12,protected well,10.0,pit latrine with slab,yes,yes,40.0,0,0,0
4239,35-39,urban,14,protected well,0.0,ventilated improved pit latrine (vip),no,yes,47.0,0,0,5
4240,20-24,urban,14,protected well,0.0,ventilated improved pit latrine (vip),no,yes,47.0,0,0,0
4241,15-19,urban,14,protected well,0.0,ventilated improved pit latrine (vip),no,yes,47.0,0,0,0
4242,15-19,urban,14,protected well,0.0,ventilated improved pit latrine (vip),no,yes,47.0,0,0,0
4243,15-19,urban,14,protected well,0.0,ventilated improved pit latrine (vip),no,yes,47.0,0,0,0
4244,20-24,urban,10,protected well,5.0,pit latrine with slab,no,yes,51.0,0,0,1
4245,30-34,urban,10,protected well,5.0,pit latrine with slab,no,yes,51.0,0,0,2
4246,45-49,urban,19,protected well,0.0,pit latrine with slab,no,yes,65.0,0,0,4
4247,30-34,urban,19,protected well,0.0,pit latrine with slab,no,yes,65.0,0,0,3
4248,20-24,urban,19,protected well,0.0,pit latrine with slab,no,yes,65.0,0,0,0
4249,25-29,urban,19,protected well,0.0,pit latrine with slab,no,yes,65.0,0,0,0
4250,20-24,urban,19,protected well,0.0,pit latrine with slab,no,yes,65.0,0,0,1
4251,20-24,urban,19,protected well,0.0,pit latrine with slab,no,yes,65.0,0,0,2
4252,20-24,urban,19,protected well,0.0,pit latrine with slab,no,yes,65.0,0,0,2
4253,30-34,urban,6,protected well,10.0,pit latrine with slab,no,yes,35.0,0,0,4
4254,25-29,urban,8,protected well,0.0,pit latrine with slab,yes,no,55.0,0,0,2
4255,15-19,urban,8,protected well,0.0,pit latrine with slab,yes,no,55.0,0,0,0
4256,15-19,urban,8,protected well,0.0,pit latrine with slab,yes,no,55.0,0,0,0
4257,15-19,urban,9,protected well,0.0,pit latrine with slab,no,yes,70.0,0,0,0
4258,20-24,urban,9,protected well,0.0,pit latrine with slab,no,yes,70.0,0,0,1
4259,25-29,urban,9,protected well,0.0,pit latrine with slab,no,yes,70.0,0,0,0
4260,15-19,urban,12,protected well,8.0,flush to pit latrine,no,yes,52.0,0,0,0
4261,30-34,urban,12,protected well,8.0,flush to pit latrine,no,yes,52.0,0,0,4
4262,15-19,urban,12,protected well,8.0,flush to pit latrine,no,yes,52.0,0,0,0
4263,45-49,urban,17,protected well,5.0,pit latrine with slab,yes,yes,60.0,0,0,7
4264,45-49,urban,17,protected well,5.0,pit latrine with slab,yes,yes,60.0,3,2,7
4265,35-39,urban,17,protected well,5.0,pit latrine with slab,yes,yes,60.0,0,0,2
4266,15-19,urban,17,protected well,5.0,pit latrine with slab,yes,yes,60.0,0,0,0
4267,25-29,urban,9,protected well,0.0,pit latrine with slab,no,yes,53.0,0,0,1
4268,45-49,urban,9,protected well,0.0,pit latrine with slab,no,yes,53.0,0,0,3
4269,15-19,urban,9,protected well,0.0,pit latrine with slab,no,yes,53.0,0,0,0
4270,30-34,urban,13,protected well,5.0,pit latrine with slab,yes,yes,38.0,0,0,1
4271,25-29,urban,13,protected well,5.0,pit latrine with slab,yes,yes,38.0,0,0,2
4272,35-39,urban,13,protected well,5.0,pit latrine with slab,yes,yes,38.0,0,0,4
4273,15-19,urban,13,protected well,5.0,pit latrine with slab,yes,yes,38.0,0,0,0
4274,35-39,urban,9,protected well,15.0,ventilated improved pit latrine (vip),no,yes,42.0,0,0,5
4275,15-19,urban,9,protected well,15.0,ventilated improved pit latrine (vip),no,yes,42.0,0,0,0
4276,35-39,urban,12,protected well,10.0,pit latrine with slab,yes,yes,38.0,1,0,6
4277,15-19,urban,12,protected well,10.0,pit latrine with slab,yes,yes,38.0,0,0,1
4278,20-24,urban,12,protected well,10.0,pit latrine with slab,yes,yes,38.0,0,0,0
4279,15-19,urban,12,protected well,10.0,pit latrine with slab,yes,yes,38.0,0,0,0
4280,45-49,urban,10,protected well,7.0,pit latrine with slab,yes,yes,59.0,0,0,5
4281,20-24,urban,10,protected well,7.0,pit latrine with slab,yes,yes,59.0,0,0,1
4282,20-24,urban,10,protected well,7.0,pit latrine with slab,yes,yes,59.0,0,0,0
4283,15-19,urban,10,protected well,7.0,pit latrine with slab,yes,yes,59.0,0,0,0
4284,35-39,urban,5,protected well,10.0,pit latrine with slab,no,yes,35.0,0,0,1
4285,20-24,urban,5,protected well,10.0,pit latrine with slab,no,yes,35.0,0,0,0
4286,45-49,urban,10,protected well,0.0,pit latrine with slab,yes,yes,63.0,0,0,2
4287,25-29,urban,10,protected well,0.0,pit latrine with slab,yes,yes,63.0,0,0,1
4288,30-34,urban,9,protected well,0.0,flush to septic tank,yes,no,40.0,0,0,3
4289,15-19,urban,9,protected well,0.0,flush to septic tank,yes,no,40.0,0,0,0
4290,15-19,urban,9,protected well,0.0,flush to septic tank,yes,no,40.0,0,0,1
4291,25-29,urban,4,bottled water or sachets,30.0,pit latrine with slab,yes,yes,33.0,0,0,0
4292,35-39,urban,17,protected well,5.0,pit latrine with slab,yes,yes,52.0,0,0,4
4293,25-29,urban,17,protected well,5.0,pit latrine with slab,yes,yes,52.0,0,0,1
4294,25-29,urban,17,protected well,5.0,pit latrine with slab,yes,yes,52.0,0,0,0
4295,20-24,urban,17,protected well,5.0,pit latrine with slab,yes,yes,52.0,0,0,1
4296,15-19,urban,17,protected well,5.0,pit latrine with slab,yes,yes,52.0,0,0,1
4297,20-24,urban,6,tube well or borehole,30.0,pit latrine without slab/open pit,yes,yes,54.0,0,0,0
4298,20-24,urban,6,tube well or borehole,30.0,pit latrine without slab/open pit,yes,yes,54.0,0,0,2
4299,20-24,urban,5,tube well or borehole,30.0,pit latrine without slab/open pit,yes,yes,24.0,0,1,4
4300,25-29,urban,3,public tap/standpipe,45.0,pit latrine with slab,yes,yes,35.0,0,0,0
4301,35-39,urban,10,protected well,30.0,ventilated improved pit latrine (vip),yes,yes,43.0,1,1,6
4302,25-29,urban,3,public tap/standpipe,40.0,pit latrine with slab,yes,yes,29.0,0,0,1
4303,15-19,urban,3,public tap/standpipe,40.0,pit latrine with slab,yes,yes,29.0,0,0,0
4304,30-34,urban,11,protected well,10.0,pit latrine with slab,yes,yes,32.0,1,0,4
4305,35-39,urban,11,protected well,10.0,pit latrine with slab,yes,yes,32.0,0,0,3
4306,45-49,urban,8,protected well,5.0,pit latrine with slab,yes,yes,53.0,1,0,7
4307,15-19,urban,8,protected well,5.0,pit latrine with slab,yes,yes,53.0,0,0,0
4308,20-24,urban,5,bottled water or sachets,40.0,pit latrine with slab,yes,no,28.0,0,0,2
4309,35-39,urban,8,public tap/standpipe,10.0,flush to septic tank,yes,yes,43.0,0,0,3
4310,20-24,urban,8,public tap/standpipe,10.0,flush to septic tank,yes,yes,43.0,0,0,1
4311,25-29,urban,9,tube well or borehole,60.0,pit latrine without slab/open pit,no,yes,34.0,0,1,5
4312,35-39,urban,14,public tap/standpipe,14.0,pit latrine with slab,no,yes,36.0,0,0,3
4313,40-44,urban,14,public tap/standpipe,14.0,pit latrine with slab,no,yes,36.0,1,3,8
4314,35-39,urban,14,public tap/standpipe,14.0,pit latrine with slab,no,yes,36.0,0,0,2
4315,20-24,urban,14,public tap/standpipe,14.0,pit latrine with slab,no,yes,36.0,0,0,0
4316,15-19,urban,14,public tap/standpipe,14.0,pit latrine with slab,no,yes,36.0,0,0,0
4317,30-34,urban,14,public tap/standpipe,14.0,pit latrine with slab,no,yes,36.0,0,2,5
4318,20-24,urban,14,public tap/standpipe,14.0,pit latrine with slab,no,yes,36.0,0,0,1
4319,35-39,urban,6,protected well,10.0,ventilated improved pit latrine (vip),yes,yes,43.0,0,0,5
4320,25-29,urban,7,tube well or borehole,30.0,pit latrine with slab,yes,yes,36.0,0,1,4
4321,15-19,urban,7,tube well or borehole,30.0,pit latrine with slab,yes,yes,36.0,0,0,0
4322,25-29,urban,5,protected well,10.0,ventilated improved pit latrine (vip),yes,yes,25.0,0,0,0
4323,25-29,urban,6,public tap/standpipe,60.0,pit latrine with slab,no,no,38.0,1,0,5
4324,40-44,urban,9,public tap/standpipe,60.0,pit latrine with slab,yes,yes,43.0,0,0,3
4325,15-19,urban,9,public tap/standpipe,60.0,pit latrine with slab,yes,yes,43.0,0,0,0
4326,15-19,urban,9,public tap/standpipe,60.0,pit latrine with slab,yes,yes,43.0,0,0,0
4327,20-24,urban,9,public tap/standpipe,60.0,pit latrine with slab,yes,yes,43.0,0,0,0
4328,25-29,urban,9,public tap/standpipe,60.0,pit latrine with slab,yes,yes,43.0,0,0,1
4329,45-49,urban,8,public tap/standpipe,30.0,flush to pit latrine,yes,yes,47.0,0,0,4
4330,15-19,urban,8,public tap/standpipe,30.0,flush to pit latrine,yes,yes,47.0,0,0,0
4331,20-24,urban,4,public tap/standpipe,15.0,pit latrine with slab,yes,yes,25.0,0,0,1
4332,45-49,urban,4,protected well,40.0,pit latrine with slab,yes,yes,48.0,1,1,4
4333,15-19,urban,6,public tap/standpipe,10.0,pit latrine with slab,yes,yes,35.0,0,0,0
4334,30-34,urban,6,public tap/standpipe,10.0,pit latrine with slab,yes,yes,35.0,0,0,0
4335,25-29,urban,6,public tap/standpipe,10.0,pit latrine with slab,yes,yes,35.0,0,1,3
4336,20-24,urban,6,public tap/standpipe,10.0,pit latrine with slab,yes,yes,35.0,0,0,0
4337,15-19,urban,4,public tap/standpipe,40.0,pit latrine with slab,yes,yes,40.0,0,0,0
4338,30-34,urban,9,public tap/standpipe,30.0,pit latrine with slab,yes,yes,30.0,0,0,2
4339,20-24,urban,9,public tap/standpipe,30.0,pit latrine with slab,yes,yes,30.0,0,0,1
4340,15-19,urban,9,public tap/standpipe,30.0,pit latrine with slab,yes,yes,30.0,0,0,0
4341,15-19,urban,9,public tap/standpipe,30.0,pit latrine with slab,yes,yes,30.0,0,0,0
4342,40-44,urban,7,protected well,10.0,ventilated improved pit latrine (vip),yes,yes,40.0,0,0,6
4343,15-19,urban,7,protected well,10.0,ventilated improved pit latrine (vip),yes,yes,40.0,0,0,0
4344,25-29,urban,5,protected well,0.0,pit latrine with slab,yes,yes,42.0,0,0,2
4345,15-19,urban,5,protected well,0.0,pit latrine with slab,yes,yes,42.0,0,0,0
4346,45-49,urban,5,tube well or borehole,90.0,pit latrine without slab/open pit,yes,yes,54.0,1,0,6
4347,25-29,urban,10,public tap/standpipe,60.0,pit latrine with slab,no,no,28.0,0,0,4
4348,25-29,urban,5,public tap/standpipe,10.0,pit latrine with slab,no,no,63.0,0,0,3
4349,20-24,urban,4,public tap/standpipe,25.0,pit latrine with slab,yes,yes,28.0,0,0,1
4350,25-29,urban,4,protected well,30.0,ventilated improved pit latrine (vip),no,no,35.0,1,1,4
4351,20-24,urban,10,public tap/standpipe,45.0,pit latrine with slab,yes,yes,57.0,0,0,0
4352,45-49,rural,7,unprotected spring,30.0,ventilated improved pit latrine (vip),no,yes,45.0,0,0,7
4353,20-24,rural,4,unprotected spring,15.0,pit latrine with slab,no,yes,26.0,0,0,0
4354,45-49,rural,4,unprotected spring,20.0,no facility/bush/field,no,no,60.0,1,1,8
4355,20-24,rural,4,unprotected spring,20.0,no facility/bush/field,no,no,60.0,0,0,0
4356,40-44,rural,6,unprotected spring,10.0,no facility/bush/field,no,yes,40.0,1,1,7
4357,25-29,rural,4,unprotected spring,15.0,no facility/bush/field,no,yes,32.0,0,0,2
4358,30-34,rural,4,unprotected well,30.0,no facility/bush/field,no,yes,40.0,0,0,2
4359,35-39,rural,7,unprotected spring,15.0,pit latrine with slab,no,yes,39.0,0,1,10
4360,20-24,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,120.0,no facility/bush/field,no,no,30.0,0,0,2
4361,30-34,rural,6,unprotected spring,5.0,no facility/bush/field,no,no,45.0,0,2,6
4362,25-29,rural,3,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,no facility/bush/field,no,no,30.0,0,0,1
4363,45-49,rural,8,unprotected spring,5.0,no facility/bush/field,no,no,55.0,1,0,7
4364,25-29,rural,8,unprotected spring,5.0,no facility/bush/field,no,no,55.0,0,0,2
4365,30-34,rural,3,unprotected spring,10.0,no facility/bush/field,no,yes,45.0,0,1,4
4366,25-29,rural,5,unprotected spring,15.0,no facility/bush/field,no,yes,33.0,0,2,5
4367,25-29,rural,6,unprotected spring,10.0,no facility/bush/field,no,no,90.0,0,0,3
4368,15-19,rural,2,unprotected well,30.0,no facility/bush/field,no,yes,25.0,0,0,0
4369,35-39,rural,8,unprotected spring,20.0,no facility/bush/field,no,yes,45.0,0,0,2
4370,40-44,rural,8,unprotected spring,20.0,no facility/bush/field,no,yes,45.0,0,0,7
4371,15-19,rural,8,unprotected spring,20.0,no facility/bush/field,no,yes,45.0,0,0,1
4372,30-34,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,120.0,no facility/bush/field,no,no,41.0,0,0,4
4373,30-34,rural,5,unprotected well,30.0,no facility/bush/field,no,yes,38.0,0,0,5
4374,30-34,rural,3,unprotected well,30.0,no facility/bush/field,no,no,32.0,0,0,5
4375,35-39,rural,8,protected well,30.0,no facility/bush/field,no,no,38.0,2,0,4
4376,25-29,rural,16,protected well,15.0,no facility/bush/field,no,no,35.0,0,0,2
4377,30-34,rural,16,protected well,15.0,no facility/bush/field,no,no,35.0,0,0,1
4378,25-29,rural,4,unprotected well,45.0,no facility/bush/field,no,yes,25.0,0,0,2
4379,30-34,rural,8,tube well or borehole,15.0,no facility/bush/field,no,yes,43.0,0,1,4
4380,30-34,rural,3,unprotected well,30.0,no facility/bush/field,no,no,45.0,0,0,4
4381,25-29,rural,5,protected well,10.0,pit latrine with slab,no,yes,32.0,0,0,1
4382,40-44,rural,8,protected well,8.0,no facility/bush/field,no,no,43.0,0,0,5
4383,20-24,rural,7,protected well,5.0,no facility/bush/field,no,no,35.0,0,0,2
4384,30-34,rural,6,tube well or borehole,5.0,no facility/bush/field,no,no,42.0,1,0,4
4385,35-39,rural,8,tube well or borehole,15.0,no facility/bush/field,no,no,50.0,0,0,6
4386,40-44,rural,6,protected well,5.0,no facility/bush/field,no,no,43.0,0,0,3
4387,15-19,rural,6,protected well,5.0,no facility/bush/field,no,no,43.0,0,0,0
4388,30-34,rural,7,unprotected well,5.0,no facility/bush/field,no,yes,32.0,0,0,3
4389,15-19,rural,7,unprotected well,5.0,no facility/bush/field,no,yes,32.0,0,0,0
4390,35-39,rural,6,unprotected well,3.0,no facility/bush/field,no,no,41.0,0,0,4
4391,45-49,rural,9,protected well,10.0,pit latrine with slab,no,yes,52.0,0,0,6
4392,30-34,rural,7,protected well,0.0,no facility/bush/field,no,yes,59.0,0,0,3
4393,45-49,rural,6,unprotected well,20.0,pit latrine without slab/open pit,no,no,67.0,1,2,10
4394,45-49,rural,8,unprotected well,20.0,pit latrine without slab/open pit,no,yes,59.0,1,2,11
4395,15-19,rural,8,unprotected well,20.0,pit latrine without slab/open pit,no,yes,59.0,0,0,0
4396,25-29,rural,8,unprotected well,20.0,pit latrine without slab/open pit,no,yes,59.0,1,0,3
4397,20-24,rural,8,tube well or borehole,22.0,pit latrine without slab/open pit,no,no,75.0,0,0,0
4398,45-49,rural,7,unprotected well,22.0,pit latrine without slab/open pit,no,no,50.0,1,0,5
4399,15-19,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,composting toilet,no,no,80.0,0,0,0
4400,15-19,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,composting toilet,no,no,80.0,0,0,0
4401,15-19,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,composting toilet,no,no,80.0,0,0,1
4402,30-34,rural,6,protected well,10.0,ventilated improved pit latrine (vip),no,yes,35.0,1,1,6
4403,30-34,rural,4,unprotected well,20.0,pit latrine without slab/open pit,no,no,38.0,0,0,4
4404,40-44,rural,6,unprotected well,20.0,pit latrine without slab/open pit,no,yes,64.0,1,0,8
4405,15-19,rural,6,unprotected well,20.0,pit latrine without slab/open pit,no,yes,64.0,0,0,0
4406,15-19,rural,7,unprotected well,15.0,pit latrine without slab/open pit,no,no,64.0,0,0,0
4407,35-39,rural,7,unprotected well,15.0,pit latrine without slab/open pit,no,no,64.0,0,0,3
4408,15-19,rural,7,unprotected well,15.0,pit latrine without slab/open pit,no,no,64.0,0,0,0
4409,20-24,rural,7,unprotected well,20.0,pit latrine without slab/open pit,no,no,34.0,0,0,1
4410,45-49,rural,6,tube well or borehole,14.0,pit latrine without slab/open pit,no,no,45.0,0,0,6
4411,25-29,rural,6,tube well or borehole,14.0,pit latrine without slab/open pit,no,no,45.0,2,0,2
4412,40-44,rural,8,unprotected well,15.0,pit latrine without slab/open pit,no,yes,52.0,1,1,8
4413,25-29,rural,8,unprotected well,15.0,pit latrine without slab/open pit,no,yes,52.0,0,1,2
4414,25-29,rural,7,river/dam/lake/ponds/stream/canal/irrigation channel,15.0,pit latrine with slab,no,yes,48.0,0,0,1
4415,45-49,rural,3,unprotected well,30.0,pit latrine without slab/open pit,no,yes,53.0,0,0,6
4416,25-29,rural,3,unprotected well,10.0,pit latrine without slab/open pit,no,no,39.0,0,0,4
4417,45-49,rural,6,unprotected well,25.0,pit latrine without slab/open pit,no,no,55.0,0,0,8
4418,30-34,rural,18,river/dam/lake/ponds/stream/canal/irrigation channel,6.0,pit latrine without slab/open pit,no,yes,68.0,0,1,4
4419,15-19,rural,18,river/dam/lake/ponds/stream/canal/irrigation channel,6.0,pit latrine without slab/open pit,no,yes,68.0,0,0,0
4420,15-19,rural,18,river/dam/lake/ponds/stream/canal/irrigation channel,6.0,pit latrine without slab/open pit,no,yes,68.0,0,0,1
4421,25-29,rural,5,tube well or borehole,16.0,pit latrine without slab/open pit,no,no,30.0,0,0,3
4422,35-39,rural,6,unprotected well,28.0,pit latrine without slab/open pit,no,no,41.0,1,1,6
4423,45-49,rural,5,river/dam/lake/ponds/stream/canal/irrigation channel,10.0,pit latrine without slab/open pit,no,no,65.0,0,1,4
4424,25-29,rural,5,unprotected well,60.0,pit latrine without slab/open pit,no,no,30.0,1,0,4
4425,35-39,rural,6,river/dam/lake/ponds/stream/canal/irrigation channel,20.0,ventilated improved pit latrine (vip),no,yes,43.0,0,0,3
4426,45-49,rural,13,unprotected well,20.0,pit latrine without slab/open pit,no,no,67.0,2,1,11
4427,40-44,rural,13,unprotected well,20.0,pit latrine without slab/open pit,no,no,67.0,3,0,9
4428,20-24,rural,13,unprotected well,20.0,pit latrine without slab/open pit,no,no,67.0,0,0,1
4429,35-39,rural,11,tube well or borehole,4.0,pit latrine without slab/open pit,no,yes,40.0,0,0,5
4430,35-39,rural,11,tube well or borehole,4.0,pit latrine without slab/open pit,no,yes,40.0,0,0,7
4431,15-19,rural,11,tube well or borehole,4.0,pit latrine without slab/open pit,no,yes,40.0,0,0,0
4432,45-49,rural,3,tube well or borehole,12.0,pit latrine without slab/open pit,no,no,64.0,2,0,3
4433,25-29,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,25.0,ventilated improved pit latrine (vip),no,yes,27.0,0,0,3
4434,25-29,rural,8,river/dam/lake/ponds/stream/canal/irrigation channel,25.0,ventilated improved pit latrine (vip),no,yes,27.0,0,0,1
4435,40-44,rural,9,unprotected well,31.0,pit latrine without slab/open pit,no,no,50.0,1,1,9
4436,15-19,rural,9,unprotected well,31.0,pit latrine without slab/open pit,no,no,50.0,0,0,0
4437,45-49,rural,7,tube well or borehole,25.0,pit latrine without slab/open pit,no,no,47.0,0,0,7
4438,15-19,rural,7,tube well or borehole,25.0,pit latrine without slab/open pit,no,no,47.0,0,0,1
